,Country,Link,Desired_Table,Total_Men,Total_Women
49,East Timor,https://en.wikipedia.org/wiki/East_Timor_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Swimming    1      1      2
2      Total    2      1      3",2,1
50,Ecuador,https://en.wikipedia.org/wiki/Ecuador_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    0      1      1
1           Athletics    8     10     18
2              Boxing    2      2      4
3             Cycling    3      1      4
4          Equestrian    1      0      1
5                Golf    0      1      1
6                Judo    1      2      3
7   Modern pentathlon    0      1      1
8            Shooting    0      2      2
9             Surfing    0      1      1
10           Swimming    2      2      4
11       Table tennis    1      0      1
12          Triathlon    0      1      1
13      Weightlifting    0      4      4
14          Wrestling    0      2      2
15              Total   18     30     48",18,30
51,Egypt,https://en.wikipedia.org/wiki/Egypt_at_the_2020_Summer_Olympics,"                Sport  Men  Women  Total
0             Archery    1      1      2
1   Artistic swimming    0      8      8
2           Athletics    4      0      4
3           Badminton    1      2      3
4              Boxing    2      0      2
5            Canoeing    1      1      2
6             Cycling    0      1      1
7              Diving    1      1      2
8          Equestrian    3      0      3
9             Fencing    7      4     11
10           Football   18      0     18
11         Gymnastics    2      9     11
12           Handball   14      0     14
13               Judo    3      0      3
14             Karate    2      3      5
15  Modern pentathlon    2      2      4
16             Rowing    1      0      1
17            Sailing    1      1      2
18           Shooting    7      4     11
19           Swimming    3      1      4
20       Table tennis    3      3      6
21          Taekwondo    2      2      4
22             Tennis    1      1      2
23          Triathlon    0      1      1
24          Wrestling    6      2      8
25              Total   85     47    132",85,47
52,El Salvador,https://en.wikipedia.org/wiki/El_Salvador_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1     Boxing    0      1      1
2    Sailing    1      0      1
3   Swimming    1      1      2
4      Total    3      2      5",3,2
53,Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      1      2
1   Swimming    1      0      1
2      Total    2      1      3",2,1
54,Eritrea,https://en.wikipedia.org/wiki/Eritrea_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    5      4      9
1    Cycling    2      1      3
2   Swimming    1      0      1
3      Total    8      5     13",8,5
55,Estonia,https://en.wikipedia.org/wiki/Estonia_at_the_2020_Summer_Olympics,"         Sport  Men  Women  Total
0      Archery    0      1      1
1    Athletics    6      1      7
2    Badminton    1      1      2
3      Cycling    2      1      3
4   Equestrian    0      1      1
5      Fencing    0      4      4
6         Judo    1      0      1
7       Rowing    4      0      4
8      Sailing    1      1      2
9     Shooting    1      0      1
10    Swimming    2      1      3
11      Tennis    0      1      1
12   Triathlon    0      1      1
13   Wrestling    1      1      2
14       Total   19     14     33",19,14
56,Eswatini,https://en.wikipedia.org/wiki/Eswatini_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1     Boxing    1      0      1
2   Swimming    1      1      2
3      Total    3      1      4",3,1
57,Ethiopia,https://en.wikipedia.org/wiki/Ethiopia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics   16     19     35
1    Cycling    0      1      1
2   Swimming    1      0      1
3  Taekwondo    1      0      1
4      Total   18     20     38",18,20
58,Federated States of Micronesia,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia_at_the_2020_Summer_Olympics,"       Sport  Men  Women  Total
0  Athletics    1      0      1
1   Swimming    1      1      2
2      Total    2      1      3",2,1
